"IEA fossil fuel subsidies database","","","","","","","","","","","","","","",""
"© 2024 IEA","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Unit: Real 2023 million USD","","","","","","","","","","","","","","",""
"","","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Gabon","Electricity","-","-","-","7.1","-","-","-","-","1.0","-","-","0.7","295.2","53.7"
"Gabon","Gas","-","-","-","-","0.8","0.8","0.7","0.7","0.9","0.6","0.5","1.2","2.3","1.3"
"Gabon","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Gabon","Total","-","-","55.5","98.3","140.3","190.4","172.5","62.8","54.3","47.8","51.4","29.8","368.8","133.2"
"Ghana","Oil","224.0","131.0","153.9","66.9","36.7","42.1","27.6","73.0","101.5","2.5","-","54.8","22.0","175.0"
"Ghana","Electricity","-","-","-","-","-","157.4","241.2","340.3","348.8","300.2","493.2","1,036.4","2,877.1","332.3"
"Ghana","Gas","-","-","-","-","-","-","0.7","8.2","14.7","12.4","15.9","54.8","170.3","118.6"
"Ghana","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ghana","Total","224.0","131.0","153.9","66.9","36.7","199.6","269.5","421.4","465.1","315.0","509.1","1,146.0","3,069.4","625.9"
"India","Oil","19,227.8","36,354.5","42,673.5","40,273.6","30,393.8","16,613.4","12,393.8","14,597.9","18,202.6","15,048.5","11,283.7","13,286.1","22,239.4","19,233.6"
"India","Electricity","3,245.7","4,216.4","3,399.9","5,759.8","3,755.0","8,928.0","9,207.1","6,569.3","9,957.0","7,160.6","7,232.0","14,984.9","18,858.6","26,886.1"
"India","Gas","752.3","1,734.3","1,806.5","2,224.3","2,292.0","1,730.8","1,219.5","1,295.1","2,912.8","844.0","317.8","2,619.2","2,698.5","1,239.4"
"India","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"India","Total","23,225.8","42,305.3","47,879.9","48,257.7","36,440.8","27,272.2","22,820.4","22,462.2","31,072.4","23,053.0","18,833.6","30,890.2","43,796.5","47,359.1"
"Indonesia","Oil","11,845.2","22,333.8","30,186.9","28,354.8","27,614.8","11,243.6","7,466.4","14,991.1","26,258.4","20,795.0","7,890.1","21,059.4","36,691.2","28,699.5"
"Indonesia","Electricity","7,261.3","8,617.7","8,567.6","9,949.4","15,371.0","9,849.4","13,148.4","6,113.3","12,172.5","-","-","1,940.7","8,289.4","567.2"
"Indonesia","Gas","1,752.1","573.9","1,376.8","216.4","562.5","-","-","-","-","-","-","-","1,471.5","-"
"Indonesia","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Indonesia","Total","20,858.6","31,525.3","40,131.3","38,520.6","43,548.3","21,092.9","20,614.8","21,104.4","38,430.8","20,795.0","7,890.1","23,000.1","46,452.0","29,266.7"
"Iraq","Oil","9,780.3","11,580.5","12,801.8","10,794.3","7,511.4","3,880.4","3,253.4","5,802.3","7,697.2","7,249.2","3,921.2","6,431.7","12,009.2","7,893.2"
"Iraq","Electricity","2,766.0","2,485.1","1,562.5","1,878.9","1,533.1","2,030.3","2,399.3","2,108.3","2,910.4","2,200.6","2,079.9","4,969.2","7,707.6","4,361.4"
"Iraq","Gas","106.7","225.8","1,121.9","688.1","396.6","319.9","823.0","744.9","909.4","884.3","800.2","2,127.7","2,897.1","2,117.9"
"Iraq","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Iraq","Total","12,653.0","14,291.4","15,486.2","13,361.4","9,441.1","6,230.6","6,475.7","8,655.5","11,517.1","10,334.1","6,801.3","13,528.5","22,613.8","14,372.5"
"Iran","Oil","23,309.0","19,082.1","31,962.5","32,167.0","29,385.4","13,805.6","7,798.1","12,463.2","35,049.4","44,023.1","36,407.3","42,427.2","57,700.3","23,738.9"
"Iran","Electricity","9,245.8","9,129.5","13,132.4","11,206.0","11,008.8","9,405.8","3,389.4","10,430.1","20,406.6","79,676.6","28,003.6","25,644.6","34,379.0","24,732.3"
"Iran","Gas","18,605.2","11,158.2","21,148.6","19,705.8","17,367.0","14,248.0","10,572.3","12,020.7","24,992.9","27,243.0","28,873.5","33,134.0","62,244.0","33,345.6"
"Iran","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
